image_path,original_filename,breed,age_min,age_max,age_mid,age_range,sex,age_label,dataset
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Akita 2-5 F copy.jpg,Akita 2-5 F copy.jpg,akita,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Akita 2-5 F(1) copy.jpg,Akita 2-5 F(1) copy.jpg,akita,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\akita 2-5 F(2) copy.jpg,akita 2-5 F(2) copy.jpg,akita,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Akita 2-5 M copy.jpg,Akita 2-5 M copy.jpg,akita,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Akita 2-5 M(1) copy.jpg,Akita 2-5 M(1) copy.jpg,akita,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\akita 2-5 M(2) copy.jpg,akita 2-5 M(2) copy.jpg,akita,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\akita 2-5 M(3) copy.jpg,akita 2-5 M(3) copy.jpg,akita,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\akita 2-5 M(4) copy.jpg,akita 2-5 M(4) copy.jpg,akita,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\akita cross 2-5 M.png,akita cross 2-5 M.png,akita cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\American bulldog 2-5 M copy.jpg,American bulldog 2-5 M copy.jpg,american bulldog,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\american bulldog 2-5 M.png,american bulldog 2-5 M.png,american bulldog,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\American bulldog 5 F.png,American bulldog 5 F.png,american bulldog,5.0,5.0,5.0,5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\beagle 2-5 F copy.jpg,beagle 2-5 F copy.jpg,beagle,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\beagle 2-5 F(1) copy.jpg,beagle 2-5 F(1) copy.jpg,beagle,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Beagle 2-5 F(1).png,Beagle 2-5 F(1).png,beagle,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\beagle 2-5 F(20).png,beagle 2-5 F(20).png,beagle,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\beagle 2-5 F(4).png,beagle 2-5 F(4).png,beagle,2.0,5.0,3.5,2-5,F,Adult,Expert
